,index_type,M,efConstruction,ef,recall,query_per_sec,loss
5701,HNSW,14,308,14300,100.0,2524.7879608728367,-2519.7879608728367
5702,HNSW,14,308,14400,100.0,2454.5318352059926,-2449.5318352059926
5703,HNSW,14,308,14500,100.0,2535.486991004933,-2530.486991004933
5704,HNSW,14,308,14600,100.0,2536.05422433444,-2531.05422433444
5705,HNSW,14,308,14700,100.0,2539.662856035652,-2534.662856035652
5706,HNSW,14,308,14800,100.0,2161.566687280973,-2156.566687280973
5707,HNSW,14,308,14900,100.0,2001.4525464896,-1996.4525464896
5708,HNSW,14,308,15000,100.0,2795.4572114102907,-2790.4572114102907
5709,HNSW,14,308,15100,100.0,2799.61820087173,-2794.61820087173
5710,HNSW,14,308,15200,100.0,2648.002777865463,-2643.002777865463
5711,HNSW,14,308,15300,100.0,2567.2863045141544,-2562.2863045141544
5712,HNSW,14,308,15400,100.0,2543.837070371965,-2538.837070371965
5713,HNSW,14,308,15500,100.0,2556.458032389207,-2551.458032389207
5714,HNSW,14,308,15600,100.0,2046.5610117885865,-2041.5610117885865
5715,HNSW,14,308,15700,100.0,2549.2019886467237,-2544.2019886467237
5716,HNSW,14,308,15800,100.0,2581.634424221534,-2576.634424221534
5717,HNSW,14,308,15900,100.0,2557.050277694798,-2552.050277694798
5718,HNSW,14,308,16000,100.0,2562.267631876356,-2557.267631876356
5719,HNSW,14,308,16100,100.0,2591.620170414172,-2586.620170414172
5720,HNSW,14,308,16200,100.0,2541.663535770988,-2536.663535770988
5721,HNSW,14,308,16300,100.0,2547.1894281688774,-2542.1894281688774
5722,HNSW,14,308,16400,100.0,2535.272428341735,-2530.272428341735
5723,HNSW,14,308,16500,100.0,2418.4280780252666,-2413.4280780252666
5724,HNSW,14,308,16600,100.0,2420.619365859852,-2415.619365859852
5725,HNSW,14,308,16700,100.0,2423.4865862748384,-2418.4865862748384
5726,HNSW,14,308,16800,100.0,2508.045014769724,-2503.045014769724
5727,HNSW,14,308,16900,100.0,2692.851043612807,-2687.851043612807
5728,HNSW,14,308,17000,100.0,2550.411052196332,-2545.411052196332
5729,HNSW,14,308,17100,100.0,2222.9251022874223,-2217.9251022874223
