index_type, nlist, nprobe, recall, query_per_sec, loss
IVF_FLAT,9601,1,24.88,14068.236399007177,7026068.236399007
IVF_FLAT,9601,101,100,11846.977742627952,11851.977742627952
IVF_FLAT,9601,201,100,9784.230661565736,9789.230661565736
IVF_FLAT,9601,301,100,8537.154488092816,8542.154488092816
IVF_FLAT,9601,401,100,7784.239634757433,7789.239634757433
IVF_FLAT,9601,501,100,9838.624475147193,9843.624475147193
IVF_FLAT,9601,601,100,9544.005279086172,9549.005279086172
IVF_FLAT,9601,701,100,10061.178276722318,10066.178276722318
IVF_FLAT,9601,801,100,9861.525439668954,9866.525439668954
IVF_FLAT,9601,901,100,9430.488353269178,9435.488353269178
IVF_FLAT,9701,1,24.88,14550.419759938944,7026550.4197599385
IVF_FLAT,9701,101,100,11995.03531901507,12000.03531901507
IVF_FLAT,9701,201,100,10190.242954324587,10195.242954324587
IVF_FLAT,9701,301,100,10385.53954340613,10390.53954340613
IVF_FLAT,9701,401,100,10207.851249726204,10212.851249726204
IVF_FLAT,9701,501,100,9584.351720670902,9589.351720670902
IVF_FLAT,9701,601,100,10259.035319440369,10264.035319440369
IVF_FLAT,9701,701,100,9235.096990113834,9240.096990113834
IVF_FLAT,9701,801,100,10093.379858019493,10098.379858019493
IVF_FLAT,9701,901,100,9977.88562184794,9982.88562184794
IVF_FLAT,9801,1,24.88,14478.094580600622,7026478.094580601
IVF_FLAT,9801,101,100,12395.61426840441,12400.61426840441
IVF_FLAT,9801,201,100,10643.550638211485,10648.550638211485
IVF_FLAT,9801,301,100,10060.936937801338,10065.936937801338
IVF_FLAT,9801,401,100,9949.48287313787,9954.48287313787
IVF_FLAT,9801,501,100,10353.494112710128,10358.494112710128
IVF_FLAT,9801,601,100,10062.626553428338,10067.626553428338
IVF_FLAT,9801,701,100,9658.731145653426,9663.731145653426
IVF_FLAT,9801,801,100,9432.609184545496,9437.609184545496
IVF_FLAT,9801,901,100,10017.205225573785,10022.205225573785
IVF_FLAT,9901,1,24.88,14918.915842640678,7026918.91584264
IVF_FLAT,9901,101,100,12839.968162615563,12844.968162615563
IVF_FLAT,9901,201,100,9856.890392931002,9861.890392931002
IVF_FLAT,9901,301,100,8804.34937761078,8809.34937761078
IVF_FLAT,9901,401,100,10408.477057845497,10413.477057845497
IVF_FLAT,9901,501,100,9846.939781664514,9851.939781664514
IVF_FLAT,9901,601,100,9984.060937871935,9989.060937871935
IVF_FLAT,9901,701,100,10075.67983088306,10080.67983088306
IVF_FLAT,9901,801,100,10294.53893920428,10299.53893920428
IVF_FLAT,9901,901,100,10250.510777652868,10255.510777652868
IVF_FLAT,10001,1,24.88,15277.01329448188,7027277.013294482
IVF_FLAT,10001,101,100,13953.571309757477,13958.571309757477
IVF_FLAT,10001,201,100,8278.667298278857,8283.667298278857
IVF_FLAT,10001,301,100,8532.638945398323,8537.638945398323
IVF_FLAT,10001,401,100,8123.930349222336,8128.930349222336
IVF_FLAT,10001,501,100,10315.04598888397,10320.04598888397
IVF_FLAT,10001,601,100,10453.615133464597,10458.615133464597
IVF_FLAT,10001,701,100,10235.501976670408,10240.501976670408
IVF_FLAT,10001,801,100,10109.679907443116,10114.679907443116
IVF_FLAT,10001,901,100,10188.510214492191,10193.510214492191
IVF_FLAT,10101,1,24.88,14751.535187985792,7026751.535187986
IVF_FLAT,10101,101,100,13527.394697800426,13532.394697800426
IVF_FLAT,10101,201,100,11457.342657342657,11462.342657342657
IVF_FLAT,10101,301,100,10398.413328044428,10403.413328044428
IVF_FLAT,10101,401,100,8832.717011329654,8837.717011329654
IVF_FLAT,10101,501,100,9763.959308145355,9768.959308145355
IVF_FLAT,10101,601,100,9399.843123193115,9404.843123193115
IVF_FLAT,10101,701,100,8547.94163202087,8552.94163202087
IVF_FLAT,10101,801,100,9881.505913395844,9886.505913395844
IVF_FLAT,10101,901,100,9599.707040190424,9604.707040190424
IVF_FLAT,10101,1001,100,9258.131732297368,9263.131732297368
IVF_FLAT,10201,1,24.88,15169.821693370466,7027169.82169337
IVF_FLAT,10201,101,100,13026.193360042238,13031.193360042238
IVF_FLAT,10201,201,100,11461.725966005357,11466.725966005357
IVF_FLAT,10201,301,100,8394.14813777093,8399.14813777093
IVF_FLAT,10201,401,100,8442.131111245295,8447.131111245295
IVF_FLAT,10201,501,100,8649.297836801188,8654.297836801188
IVF_FLAT,10201,601,100,8784.250649241852,8789.250649241852
IVF_FLAT,10201,701,100,9855.73231195808,9860.73231195808
IVF_FLAT,10201,801,100,9964.84759212183,9969.84759212183
IVF_FLAT,10201,901,100,10141.947964019731,10146.947964019731
IVF_FLAT,10201,1001,100,10262.80065575375,10267.80065575375
IVF_FLAT,10301,1,24.88,15057.634176987973,7027057.634176988
IVF_FLAT,10301,101,100,12267.275013892544,12272.275013892544
IVF_FLAT,10301,201,100,10162.097204050977,10167.097204050977
IVF_FLAT,10301,301,100,10149.310361515752,10154.310361515752
IVF_FLAT,10301,401,100,10421.925705056528,10426.925705056528
IVF_FLAT,10301,501,100,10417.783959663198,10422.783959663198
IVF_FLAT,10301,601,100,9613.568956428064,9618.568956428064
IVF_FLAT,10301,701,100,8934.50633720311,8939.50633720311
IVF_FLAT,10301,801,100,10100.91513341682,10105.91513341682
IVF_FLAT,10301,901,100,9984.773966243722,9989.773966243722
IVF_FLAT,10301,1001,100,10236.501195880315,10241.501195880315
IVF_FLAT,10401,1,24.88,14615.827438408196,7026615.8274384085
IVF_FLAT,10401,101,100,12032.543462046015,12037.543462046015
IVF_FLAT,10401,201,100,9598.608600132733,9603.608600132733
IVF_FLAT,10401,301,100,10313.524146749287,10318.524146749287
IVF_FLAT,10401,401,100,9266.108472329615,9271.108472329615
IVF_FLAT,10401,501,100,9532.50909090909,9537.50909090909
IVF_FLAT,10401,601,100,9534.676062741531,9539.676062741531
IVF_FLAT,10401,701,100,10227.515240185321,10232.515240185321
IVF_FLAT,10401,801,100,8687.276568422361,8692.276568422361
IVF_FLAT,10401,901,100,10198.66750960463,10203.66750960463
IVF_FLAT,10401,1001,100,9973.140574472132,9978.140574472132
IVF_FLAT,10501,1,24.88,14538.315424610051,7026538.31542461
IVF_FLAT,10501,101,100,12933.40733888375,12938.40733888375
IVF_FLAT,10501,201,100,10927.219674864527,10932.219674864527
IVF_FLAT,10501,301,100,9948.30293399113,9953.30293399113
IVF_FLAT,10501,401,100,10105.295619910374,10110.295619910374
IVF_FLAT,10501,501,100,9746.035876940236,9751.035876940236
IVF_FLAT,10501,601,100,10320.883880016732,10325.883880016732
IVF_FLAT,10501,701,100,8765.525600835947,8770.525600835947
IVF_FLAT,10501,801,100,8608.11493073371,8613.11493073371
IVF_FLAT,10501,901,100,10180.349514563106,10185.349514563106
IVF_FLAT,10501,1001,100,8556.486260429629,8561.486260429629
IVF_FLAT,10601,1,24.88,14874.473366905455,7026874.473366905
IVF_FLAT,10601,101,100,12691.551682401356,12696.551682401356
IVF_FLAT,10601,201,100,9668.973466423846,9673.973466423846
IVF_FLAT,10601,301,100,8146.968902356118,8151.968902356118
IVF_FLAT,10601,401,100,7129.4113647566755,7134.4113647566755
IVF_FLAT,10601,501,100,8132.751633606732,8137.751633606732
IVF_FLAT,10601,601,100,10219.54095804298,10224.54095804298
IVF_FLAT,10601,701,100,10077.132285810389,10082.132285810389
IVF_FLAT,10601,801,100,9972.192106514503,9977.192106514503
IVF_FLAT,10601,901,100,9827.328959700093,9832.328959700093
IVF_FLAT,10601,1001,100,9664.963015876674,9669.963015876674
IVF_FLAT,10701,1,24.88,15104.811293575338,7027104.811293575
IVF_FLAT,10701,101,100,13757.680322760521,13762.680322760521
IVF_FLAT,10701,201,100,11163.971253659834,11168.971253659834
IVF_FLAT,10701,301,100,9726.59895181114,9731.59895181114
IVF_FLAT,10701,401,100,9682.365705579537,9687.365705579537
IVF_FLAT,10701,501,100,10337.672836615484,10342.672836615484
IVF_FLAT,10701,601,100,9678.120817758088,9683.120817758088
IVF_FLAT,10701,701,100,9794.741020970529,9799.741020970529
IVF_FLAT,10701,801,100,10256.025039123631,10261.025039123631
IVF_FLAT,10701,901,100,9401.31797193706,9406.31797193706
IVF_FLAT,10701,1001,100,9852.954027578755,9857.954027578755
IVF_FLAT,10801,1,24.88,13666.679700228087,7025666.679700228
IVF_FLAT,10801,101,100,11997.437070938215,12002.437070938215
IVF_FLAT,10801,201,100,11345.769314001298,11350.769314001298
IVF_FLAT,10801,301,100,8744.327231789184,8749.327231789184
IVF_FLAT,10801,401,100,8438.7340804378,8443.7340804378
IVF_FLAT,10801,501,100,8485.85590871386,8490.85590871386
IVF_FLAT,10801,601,100,9930.167148065722,9935.167148065722
IVF_FLAT,10801,701,100,10015.291673631176,10020.291673631176
IVF_FLAT,10801,801,100,9849.020804959377,9854.020804959377
IVF_FLAT,10801,901,100,10119.192260368163,10124.192260368163
