index_type,m,nlist,nprobe,recall,query_per_sec,loss
IVF_PQ,8,13901,100,70.69,10417.266472940417,2420582.7335270597
IVF_PQ,16,13901,1,24.84,9012.256123764504,7006987.743876236
IVF_PQ,16,13901,1390,81.13,7157.759650500017,1379842.2403495004
IVF_PQ,16,13901,100,81.13,10679.050819839087,1376320.9491801613
IVF_PQ,32,13901,1,24.86,8077.619643716899,7005922.380356283
IVF_PQ,32,13901,1390,88.42,6014.546288860846,651985.453711139
IVF_PQ,32,13901,100,88.42,9723.667555349484,648276.3324446504
IVF_PQ,64,13901,1,24.88,4480.471729353829,7007519.528270646
IVF_PQ,64,13901,1390,94.44,2467.600529489631,53532.399470510594
IVF_PQ,64,13901,100,94.44,5504.913901721966,50495.08609827826
IVF_PQ,128,13901,1,24.88,2566.2652961331373,7009433.734703867
IVF_PQ,128,13901,1390,98.1,949.8315156346245,-946.7315156346244
IVF_PQ,128,13901,100,98.1,2414.9330385417024,-2411.8330385417025
IVF_PQ,1,14001,1,24.64,14349.8032775668,7021650.196722433
IVF_PQ,1,14001,1400,49.5,11907.179559971612,4538092.820440029
IVF_PQ,1,14001,100,49.5,15344.079019571976,4534655.920980428
IVF_PQ,2,14001,1,24.76,13143.756071574066,7010856.243928425
IVF_PQ,2,14001,1400,55.37,11360.827758064954,3951639.1722419355
IVF_PQ,2,14001,100,55.37,14405.99003949854,3948594.009960502
IVF_PQ,4,14001,1,24.81,12848.621492464159,7006151.378507536
IVF_PQ,4,14001,1400,61.47,11076.117038132461,3341923.8829618674
IVF_PQ,4,14001,100,61.47,14233.90233142159,3338766.0976685784
IVF_PQ,8,14001,1,24.83,11641.78971910736,7005358.210280892
IVF_PQ,8,14001,1400,70.69,10264.558758748959,2420735.441241251
IVF_PQ,8,14001,100,70.69,13181.759326188756,2417818.240673811
IVF_PQ,16,14001,1,24.84,9151.27528200205,7006848.724717998
IVF_PQ,16,14001,1400,81.13,7174.656175162504,1379825.343824838
IVF_PQ,16,14001,100,81.13,11154.470506887932,1375845.5294931126
IVF_PQ,32,14001,1,24.86,8179.219968798752,7005820.780031201
IVF_PQ,32,14001,1400,88.42,5833.767751088362,652166.2322489115
IVF_PQ,32,14001,100,88.42,9409.754565441737,648590.2454345581
IVF_PQ,64,14001,1,24.88,978.2587603089898,7011021.741239691
IVF_PQ,64,14001,1400,94.44,1397.3840095417686,54602.61599045846
IVF_PQ,64,14001,100,94.44,3805.9108025951637,52194.08919740506
IVF_PQ,128,14001,1,24.88,2581.618534111333,7009418.381465889
IVF_PQ,128,14001,1400,98.1,1001.5674325531194,-998.4674325531194
IVF_PQ,128,14001,100,98.1,2477.5559388512156,-2474.4559388512157
IVF_PQ,1,14101,1,24.64,2844.116550148163,7033155.883449852
IVF_PQ,1,14101,1410,49.5,5567.019723394654,4544432.980276605
IVF_PQ,1,14101,100,49.5,14084.298186702485,4535915.701813297
IVF_PQ,2,14101,1,24.76,13735.15407538396,7010264.845924615
IVF_PQ,2,14101,1410,55.37,10895.428096425603,3952104.5719035747
IVF_PQ,2,14101,100,55.37,14606.665505833189,3948393.3344941675
IVF_PQ,4,14101,1,24.81,12526.66726398471,7006473.332736015
IVF_PQ,4,14101,1410,61.47,11243.878508430957,3341756.121491569
IVF_PQ,4,14101,100,61.47,14220.872041771208,3338779.127958229
IVF_PQ,8,14101,1,24.83,11934.283681889316,7005065.716318111
IVF_PQ,8,14101,1410,70.69,10683.130842311708,2420316.869157688
IVF_PQ,8,14101,100,70.69,13138.815274253673,2417861.1847257465
IVF_PQ,16,14101,1,24.84,2916.1943432433186,7013083.805656756
IVF_PQ,16,14101,1410,81.13,1736.340453717503,1385263.659546283
IVF_PQ,16,14101,100,81.13,6931.931842596724,1380068.0681574037
IVF_PQ,32,14101,1,24.86,6856.12658558912,7007143.873414411
IVF_PQ,32,14101,1410,88.42,4352.111565359952,653647.8884346399
IVF_PQ,32,14101,100,88.42,7810.912883161384,650189.0871168385
IVF_PQ,64,14101,1,24.88,4492.709783842842,7007507.290216157
IVF_PQ,64,14101,1410,94.44,2784.433793167545,53215.56620683268
IVF_PQ,64,14101,100,94.44,4541.255954958857,51458.74404504137
IVF_PQ,128,14101,1,24.88,794.4223997999883,7011205.5776002
IVF_PQ,128,14101,1410,98.1,1009.5104686398109,-1006.4104686398109
IVF_PQ,128,14101,100,98.1,2456.875413696351,-2453.7754136963513
IVF_PQ,1,14201,1,24.64,14283.830540798257,7021716.169459201
IVF_PQ,1,14201,1420,49.5,12181.412639405204,4537818.587360594
IVF_PQ,1,14201,100,49.5,14892.958846713773,4535107.041153287
IVF_PQ,2,14201,1,24.76,13380.240533384374,7010619.759466615
IVF_PQ,2,14201,1420,55.37,11555.51147477753,3951444.488525223
IVF_PQ,2,14201,100,55.37,12620.141417180683,3950379.85858282
IVF_PQ,4,14201,1,24.81,10431.775561469396,7008568.22443853
IVF_PQ,4,14201,1420,61.47,8070.935960591133,3344929.0640394087
IVF_PQ,4,14201,100,61.47,11276.829596171425,3341723.1704038284
IVF_PQ,8,14201,1,24.83,11270.466209861615,7005729.533790139
IVF_PQ,8,14201,1420,70.69,10287.469034362659,2420712.5309656374
IVF_PQ,8,14201,100,70.69,11816.272256028848,2419183.727743971
IVF_PQ,16,14201,1,24.84,9578.442074493594,7006421.5579255065
IVF_PQ,16,14201,1420,81.13,7489.561087104032,1379510.4389128964
IVF_PQ,16,14201,100,81.13,10991.650724599702,1376008.3492754009
IVF_PQ,32,14201,1,24.86,8083.691169101492,7005916.308830898
IVF_PQ,32,14201,1420,88.42,5569.828959949006,652430.1710400509
IVF_PQ,32,14201,100,88.42,9247.92521056577,648752.0747894341
IVF_PQ,64,14201,1,24.88,1065.0117945189131,7010934.988205481
IVF_PQ,64,14201,1420,94.44,1286.0006561378011,54713.99934386242
IVF_PQ,64,14201,100,94.44,4016.2246011835227,51983.7753988167
IVF_PQ,128,14201,1,24.88,2660.752619959908,7009339.24738004
IVF_PQ,128,14201,1420,98.1,1071.3037081688012,-1068.2037081688013
IVF_PQ,128,14201,100,98.1,2437.485979950603,-2434.385979950603
IVF_PQ,1,14301,1,24.64,13613.450178513469,7022386.549821487
IVF_PQ,1,14301,1430,49.5,11713.64258385232,4538286.357416147
IVF_PQ,1,14301,100,49.5,14078.625134264232,4535921.374865736
IVF_PQ,2,14301,1,24.76,13423.061413895733,7010576.938586104
IVF_PQ,2,14301,1430,55.37,12345.265636497425,3950654.734363503
IVF_PQ,2,14301,100,55.37,15230.415047750463,3947769.58495225
IVF_PQ,4,14301,1,24.81,13135.112113240637,7005864.88788676
IVF_PQ,4,14301,1430,61.47,11141.1374080272,3341858.8625919726
IVF_PQ,4,14301,100,61.47,13668.461187512221,3339331.538812488
IVF_PQ,8,14301,1,24.83,10317.583390731083,7006682.416609269
IVF_PQ,8,14301,1430,70.69,9441.739639376,2421558.260360624
IVF_PQ,8,14301,100,70.69,12832.11160741602,2418167.888392584
IVF_PQ,16,14301,1,24.84,1960.2116164731833,7014039.788383527
IVF_PQ,16,14301,1430,81.13,4826.586881472957,1382173.4131185275
IVF_PQ,16,14301,100,81.13,10750.490836857618,1376249.5091631429
IVF_PQ,32,14301,1,24.86,7519.773383294189,7006480.226616706
IVF_PQ,32,14301,1430,88.42,5476.522125164845,652523.477874835
IVF_PQ,32,14301,100,88.42,8617.311445770756,649382.6885542291
IVF_PQ,64,14301,1,24.88,4484.160109476566,7007515.839890524
IVF_PQ,64,14301,1430,94.44,2825.8362696813924,53174.16373031883
IVF_PQ,64,14301,100,94.44,5431.558772872664,50568.441227127565
IVF_PQ,128,14301,1,24.88,2820.5534447395853,7009179.446555261
IVF_PQ,128,14301,1430,98.1,1047.6017303907365,-1044.5017303907366
IVF_PQ,128,14301,100,98.1,2463.81728894006,-2460.71728894006
IVF_PQ,1,14401,1,24.64,12984.255332322075,7023015.744667678
IVF_PQ,1,14401,1440,49.5,12818.77750611247,4537181.222493888
IVF_PQ,1,14401,100,49.5,15013.97479954181,4534986.025200458
IVF_PQ,2,14401,1,24.76,13677.375595121634,7010322.624404877
IVF_PQ,2,14401,1440,55.37,12373.308159773438,3950626.691840227
IVF_PQ,2,14401,100,55.37,15175.310250009044,3947824.6897499915
IVF_PQ,4,14401,1,24.81,11888.616780045351,7007111.383219955
IVF_PQ,4,14401,1440,61.47,9518.015748746227,3343481.984251254
IVF_PQ,4,14401,100,61.47,11072.608236536431,3341927.3917634636
IVF_PQ,8,14401,1,24.83,11655.37709109098,7005344.622908909
IVF_PQ,8,14401,1440,70.69,10593.549364786704,2420406.4506352134
IVF_PQ,8,14401,100,70.69,12849.015102778543,2418150.9848972214
IVF_PQ,16,14401,1,24.84,9827.559221162634,7006172.440778838
IVF_PQ,16,14401,1440,81.13,7377.8434476693055,1379622.156552331
IVF_PQ,16,14401,100,81.13,11798.323488045007,1375201.6765119554
IVF_PQ,32,14401,1,24.86,7816.152957400022,7006183.8470426
IVF_PQ,32,14401,1440,88.42,4345.528387898881,653654.471612101
IVF_PQ,32,14401,100,88.42,7744.855602333998,650255.1443976659
IVF_PQ,64,14401,1,24.88,4472.254624940022,7007527.74537506
IVF_PQ,64,14401,1440,94.44,2873.2242308825244,53126.7757691177
IVF_PQ,64,14401,100,94.44,4538.356831387485,51461.64316861274
IVF_PQ,128,14401,1,24.88,2776.985924072088,7009223.014075928
IVF_PQ,128,14401,1440,98.1,1031.6745910127338,-1028.574591012734
IVF_PQ,128,14401,100,98.1,2405.984121885182,-2402.884121885182
IVF_PQ,1,14501,1,24.64,14231.004648322194,7021768.995351678
IVF_PQ,1,14501,1450,49.5,11669.320869153938,4538330.679130846
IVF_PQ,1,14501,100,49.5,12992.29935260044,4537007.7006474
IVF_PQ,2,14501,1,24.76,13735.60387739062,7010264.396122608
IVF_PQ,2,14501,1450,55.37,10999.433546627504,3952000.566453373
IVF_PQ,2,14501,100,55.37,13157.362444318966,3949842.6375556816
IVF_PQ,4,14501,1,24.81,11858.365846762794,7007141.634153238
IVF_PQ,4,14501,1450,61.47,9959.168942182121,3343040.8310578177
IVF_PQ,4,14501,100,61.47,12279.485903328747,3340720.5140966712
IVF_PQ,8,14501,1,24.83,12147.192215239364,7004852.80778476
IVF_PQ,8,14501,1450,70.69,9865.236616803086,2421134.763383197
IVF_PQ,8,14501,100,70.69,12496.436658324395,2418503.563341676
IVF_PQ,16,14501,1,24.84,1691.7018238724822,7014308.2981761275
IVF_PQ,16,14501,1450,81.13,3591.044443873663,1383408.9555561268
IVF_PQ,16,14501,100,81.13,9661.400962845231,1377338.5990371553
