index_type,m,nlist,nprobe,recall,query_pre_sec,loss
"IVF_PQ",8,14901,100,70.69,11943.79929948458,2442943.7992994846
"IVF_PQ",16,14901,1,24.84,8880.404818868963,7024880.404818869
"IVF_PQ",16,14901,1490,81.13,6915.017723188525,1393915.017723189
"IVF_PQ",16,14901,100,81.13,11392.92136357463,1398392.9213635752
"IVF_PQ",32,14901,1,24.86,2315.3762075627933,7016315.376207563
"IVF_PQ",32,14901,1490,88.42,1442.8687407978205,659442.8687407977
"IVF_PQ",32,14901,100,88.42,4567.366495339315,662567.3664953392
"IVF_PQ",64,14901,1,24.88,4476.789411890277,7016476.78941189
"IVF_PQ",64,14901,1490,94.44,2766.1986321697323,58766.19863216996
"IVF_PQ",64,14901,100,94.44,5265.720060763562,61265.720060763786
"IVF_PQ",128,14901,1,24.88,2628.3064506021983,7014628.306450603
"IVF_PQ",128,14901,1490,98.1,1101.3239086025176,1104.4239086025175
"IVF_PQ",128,14901,100,98.1,2405.6115396748014,2408.7115396748013
"IVF_PQ",1,15001,1,24.64,13845.329108074206,7049845.329108074
"IVF_PQ",1,15001,1500,49.5,10252.765895035322,4560252.765895035
"IVF_PQ",1,15001,100,49.5,14920.507986197574,4564920.507986197
"IVF_PQ",2,15001,1,24.76,13743.705354217183,7037743.7053542165
"IVF_PQ",2,15001,1500,55.37,11043.745227625794,3974043.745227626
"IVF_PQ",2,15001,100,55.37,14640.826584752862,3977640.826584753
"IVF_PQ",4,15001,1,24.81,12825.441091031404,7031825.441091032
"IVF_PQ",4,15001,1500,61.47,10847.80550885814,3363847.805508858
"IVF_PQ",4,15001,100,61.47,12999.950409124722,3365999.9504091246
"IVF_PQ",8,15001,1,24.83,11088.708526107072,7028088.7085261075
"IVF_PQ",8,15001,1500,70.69,10281.416840299056,2441281.416840299
"IVF_PQ",8,15001,100,70.69,13792.515619861888,2444792.515619862
"IVF_PQ",16,15001,1,24.84,2956.879498621774,7018956.879498621
"IVF_PQ",16,15001,1500,81.13,2100.365559305738,1389100.3655593062
"IVF_PQ",16,15001,100,81.13,4273.796617077644,1391273.7966170781
"IVF_PQ",32,15001,1,24.86,7858.180796252927,7021858.180796253
"IVF_PQ",32,15001,1500,88.42,5085.114327974588,663085.1143279745
"IVF_PQ",32,15001,100,88.42,7138.025867937372,665138.0258679372
"IVF_PQ",64,15001,1,24.88,4504.2891814686745,7016504.289181469
"IVF_PQ",64,15001,1500,94.44,2676.1676279924454,58676.16762799267
"IVF_PQ",64,15001,100,94.44,5495.897375420942,61495.89737542117
"IVF_PQ",128,15001,1,24.88,2572.2457990923585,7014572.245799093
"IVF_PQ",128,15001,1500,98.1,999.9342008019873,1003.0342008019874
"IVF_PQ",128,15001,100,98.1,2352.636568114381,2355.736568114381
"IVF_PQ",1,15101,1,24.64,13407.185781869326,7049407.185781869
"IVF_PQ",1,15101,1510,49.5,12429.04047887157,4562429.040478871
"IVF_PQ",1,15101,100,49.5,13648.00208251985,4563648.00208252
